timestamp,open,high,low,close,volume
2026-07-20 11:14:00+00:00,76.18,76.19,76.16,76.19,500.7
2026-07-20 11:15:00+00:00,76.19,76.25,76.18,76.23,2133.4
2026-07-20 11:16:00+00:00,76.23,76.31,76.23,76.31,2539.1
2026-07-20 11:17:00+00:00,76.31,76.35,76.29,76.35,3770.2
2026-07-20 11:18:00+00:00,76.35,76.35,76.26,76.28,2732.6
2026-07-20 11:19:00+00:00,76.28,76.29,76.2,76.2,2949.1
2026-07-20 11:20:00+00:00,76.2,76.3,76.2,76.24,1036.8
2026-07-20 11:21:00+00:00,76.24,76.3,76.24,76.29,407.4
2026-07-20 11:22:00+00:00,76.29,76.33,76.29,76.33,1368.2
2026-07-20 11:23:00+00:00,76.33,76.39,76.33,76.39,4854.5
2026-07-20 11:24:00+00:00,76.39,76.39,76.36,76.37,2894.3
2026-07-20 11:25:00+00:00,76.37,76.44,76.36,76.43,2821.6
2026-07-20 11:26:00+00:00,76.43,76.46,76.43,76.44,6232.2
2026-07-20 11:27:00+00:00,76.44,76.5,76.44,76.5,5905.5
2026-07-20 11:28:00+00:00,76.5,76.52,76.49,76.51,12121.4
2026-07-20 11:29:00+00:00,76.51,76.55,76.5,76.54,5161.8
2026-07-20 11:30:00+00:00,76.54,76.64,76.52,76.6,16159.7
2026-07-20 11:31:00+00:00,76.6,76.61,76.51,76.52,5007.7
2026-07-20 11:32:00+00:00,76.52,76.54,76.5,76.54,1769.5
2026-07-20 11:33:00+00:00,76.54,76.71,76.54,76.7,27757.6
2026-07-20 11:34:00+00:00,76.7,76.7,76.62,76.64,6311.9
2026-07-20 11:35:00+00:00,76.64,76.69,76.64,76.67,4194.5
2026-07-20 11:36:00+00:00,76.67,76.67,76.62,76.66,2529.8
2026-07-20 11:37:00+00:00,76.66,76.7,76.58,76.6,3329.9
2026-07-20 11:38:00+00:00,76.6,76.61,76.53,76.54,7991.0
2026-07-20 11:39:00+00:00,76.54,76.57,76.53,76.54,1015.4
2026-07-20 11:40:00+00:00,76.54,76.6,76.52,76.54,10043.4
2026-07-20 11:41:00+00:00,76.54,76.57,76.52,76.57,1453.8
2026-07-20 11:42:00+00:00,76.57,76.59,76.55,76.58,1781.2
2026-07-20 11:43:00+00:00,76.58,76.58,76.56,76.58,1343.2
2026-07-20 11:44:00+00:00,76.58,76.58,76.57,76.58,57.3
2026-07-20 11:45:00+00:00,76.58,76.6,76.53,76.53,3584.1
2026-07-20 11:46:00+00:00,76.53,76.57,76.52,76.55,5297.4
2026-07-20 11:47:00+00:00,76.55,76.6,76.55,76.6,1178.2
2026-07-20 11:48:00+00:00,76.6,76.62,76.57,76.59,1624.2
2026-07-20 11:49:00+00:00,76.59,76.61,76.58,76.58,3105.7
2026-07-20 11:50:00+00:00,76.58,76.58,76.54,76.58,1635.1
2026-07-20 11:51:00+00:00,76.58,76.65,76.58,76.64,6458.6
2026-07-20 11:52:00+00:00,76.64,76.68,76.55,76.55,14179.5
2026-07-20 11:53:00+00:00,76.55,76.56,76.47,76.48,3872.4
2026-07-20 11:54:00+00:00,76.48,76.5,76.46,76.47,1701.8
2026-07-20 11:55:00+00:00,76.47,76.48,76.42,76.43,1496.8
2026-07-20 11:56:00+00:00,76.43,76.45,76.43,76.44,717.0
2026-07-20 11:57:00+00:00,76.44,76.45,76.44,76.45,438.7
2026-07-20 11:58:00+00:00,76.45,76.47,76.44,76.45,1757.4
2026-07-20 11:59:00+00:00,76.45,76.45,76.43,76.43,947.9
2026-07-20 12:00:00+00:00,76.43,76.45,76.41,76.41,2802.0
2026-07-20 12:01:00+00:00,76.41,76.41,76.34,76.35,5669.5
2026-07-20 12:02:00+00:00,76.35,76.42,76.34,76.42,885.8
2026-07-20 12:03:00+00:00,76.42,76.42,76.37,76.41,1077.0
