timestamp,open,high,low,close,volume
2026-07-20 11:14:00+00:00,1859.1,1859.3,1858.63,1859.07,95.53
2026-07-20 11:15:00+00:00,1859.07,1861.35,1859.06,1860.53,583.14
2026-07-20 11:16:00+00:00,1860.53,1862.81,1860.26,1862.81,255.37
2026-07-20 11:17:00+00:00,1862.81,1863.48,1862.12,1862.73,693.73
2026-07-20 11:18:00+00:00,1862.73,1862.98,1860.99,1861.2,771.84
2026-07-20 11:19:00+00:00,1861.2,1861.48,1859.52,1859.71,279.95
2026-07-20 11:20:00+00:00,1859.71,1861.55,1859.28,1860.21,288.74
2026-07-20 11:21:00+00:00,1860.21,1862.27,1859.99,1862.06,507.01
2026-07-20 11:22:00+00:00,1862.06,1862.46,1861.85,1862.43,532.38
2026-07-20 11:23:00+00:00,1862.43,1863.07,1862.42,1862.43,236.14
2026-07-20 11:24:00+00:00,1862.43,1863.0,1861.95,1862.03,166.32
2026-07-20 11:25:00+00:00,1862.03,1862.97,1861.58,1862.94,375.78
2026-07-20 11:26:00+00:00,1862.94,1863.42,1862.9,1862.9,193.9
2026-07-20 11:27:00+00:00,1862.9,1863.23,1862.51,1862.73,410.53
2026-07-20 11:28:00+00:00,1862.73,1863.03,1862.5,1862.65,170.18
2026-07-20 11:29:00+00:00,1862.65,1863.22,1862.64,1863.22,140.28
2026-07-20 11:30:00+00:00,1863.22,1863.6,1862.27,1863.32,300.14
2026-07-20 11:31:00+00:00,1863.32,1863.83,1862.47,1863.07,300.07
2026-07-20 11:32:00+00:00,1863.07,1863.51,1862.73,1863.51,130.56
2026-07-20 11:33:00+00:00,1863.51,1864.94,1863.51,1864.73,884.56
2026-07-20 11:34:00+00:00,1864.73,1864.73,1863.56,1864.13,549.65
2026-07-20 11:35:00+00:00,1864.13,1865.29,1864.13,1865.28,476.93
2026-07-20 11:36:00+00:00,1865.28,1865.28,1864.39,1864.75,651.44
2026-07-20 11:37:00+00:00,1864.75,1865.06,1863.45,1863.8,581.23
2026-07-20 11:38:00+00:00,1863.8,1864.11,1862.81,1863.21,180.26
2026-07-20 11:39:00+00:00,1863.21,1863.98,1863.21,1863.91,167.25
2026-07-20 11:40:00+00:00,1863.91,1864.63,1863.42,1863.55,246.5
2026-07-20 11:41:00+00:00,1863.55,1864.86,1863.32,1864.74,909.69
2026-07-20 11:42:00+00:00,1864.74,1865.53,1864.1,1864.6,1455.66
2026-07-20 11:43:00+00:00,1864.6,1864.6,1864.06,1864.19,137.6
2026-07-20 11:44:00+00:00,1864.19,1864.78,1864.19,1864.78,229.06
2026-07-20 11:45:00+00:00,1864.78,1865.88,1864.78,1864.78,676.57
2026-07-20 11:46:00+00:00,1864.78,1865.76,1864.51,1864.91,568.16
2026-07-20 11:47:00+00:00,1864.91,1865.5,1864.91,1865.26,130.15
2026-07-20 11:48:00+00:00,1865.26,1865.88,1865.26,1865.61,260.29
2026-07-20 11:49:00+00:00,1865.61,1865.82,1864.86,1864.94,405.33
2026-07-20 11:50:00+00:00,1864.94,1864.94,1864.12,1864.82,399.35
2026-07-20 11:51:00+00:00,1864.82,1866.8,1864.82,1866.23,3696.0
2026-07-20 11:52:00+00:00,1866.23,1866.79,1865.38,1865.47,2585.54
2026-07-20 11:53:00+00:00,1865.47,1866.86,1865.44,1865.45,1846.41
2026-07-20 11:54:00+00:00,1865.45,1866.01,1864.92,1865.19,155.35
2026-07-20 11:55:00+00:00,1865.19,1865.28,1864.26,1864.6,69.09
2026-07-20 11:56:00+00:00,1864.6,1864.76,1864.4,1864.56,105.02
2026-07-20 11:57:00+00:00,1864.56,1864.56,1863.4,1864.06,1090.8
2026-07-20 11:58:00+00:00,1864.06,1864.8,1863.63,1864.13,1894.41
2026-07-20 11:59:00+00:00,1864.13,1864.17,1863.35,1863.37,560.9
2026-07-20 12:00:00+00:00,1863.37,1863.81,1862.87,1862.87,98.9
2026-07-20 12:01:00+00:00,1862.87,1862.87,1861.8,1862.62,255.0
2026-07-20 12:02:00+00:00,1862.62,1864.93,1862.47,1864.85,668.07
2026-07-20 12:03:00+00:00,1864.85,1864.86,1863.59,1864.18,241.1
