timestamp,open,high,low,close,volume,turnover
2026-07-14 16:31:00,64817.9,64834.5,64775.1,64832.7,28.741,1862393.2369
2026-07-14 16:32:00,64832.7,64848.4,64800.3,64800.3,16.987,1101150.5575
2026-07-14 16:33:00,64800.3,64825.1,64784.2,64823.9,16.257,1053554.348
2026-07-14 16:34:00,64823.9,64874.8,64823.9,64860.9,35.527,2304286.6009
2026-07-14 16:35:00,64860.9,64874.3,64830.4,64872.6,63.7,4131275.4624
2026-07-14 16:36:00,64872.6,64880.2,64850.1,64858.4,36.129,2343648.9628
2026-07-14 16:37:00,64858.4,64858.4,64822.9,64825.5,28.261,1832455.239
2026-07-14 16:38:00,64825.5,64857.8,64818.7,64852.0,24.298,1575370.3368
2026-07-14 16:39:00,64852.0,64852.1,64806.7,64817.3,23.144,1500517.8602
2026-07-14 16:40:00,64817.3,64826.2,64810.7,64814.2,23.578,1528248.2164
2026-07-14 16:41:00,64814.2,64848.0,64814.2,64833.6,19.437,1260237.4316
2026-07-14 16:42:00,64833.6,64835.5,64806.0,64806.1,14.815,960248.4067
2026-07-14 16:43:00,64806.1,64806.1,64792.2,64792.2,14.376,931585.682
2026-07-14 16:44:00,64792.2,64815.7,64759.0,64759.0,40.393,2617138.3327
2026-07-14 16:45:00,64759.0,64786.0,64759.0,64767.1,22.221,1439221.5368
2026-07-14 16:46:00,64767.1,64767.1,64744.1,64744.1,29.349,1900391.7304
2026-07-14 16:47:00,64744.1,64745.3,64722.0,64738.9,44.353,2871144.4197
2026-07-14 16:48:00,64738.9,64744.4,64722.0,64739.6,20.565,1331314.1423
2026-07-14 16:49:00,64739.6,64739.7,64722.0,64739.2,34.948,2262166.4918
2026-07-14 16:50:00,64739.2,64786.6,64739.2,64781.3,49.097,3179628.5208
2026-07-14 16:51:00,64781.3,64795.2,64778.7,64795.2,61.266,3969215.6447
2026-07-14 16:52:00,64795.2,64838.7,64795.2,64838.7,25.753,1669404.4453
2026-07-14 16:53:00,64838.7,64840.0,64763.6,64763.7,52.492,3402564.2694
2026-07-14 16:54:00,64763.7,64767.1,64754.6,64755.2,15.929,1031559.4741
2026-07-14 16:55:00,64755.2,64764.7,64751.8,64753.6,6.66,431275.3979
2026-07-14 16:56:00,64753.6,64763.8,64741.0,64758.3,10.525,681534.711
2026-07-14 16:57:00,64758.3,64769.7,64748.6,64750.5,20.874,1351749.1216
2026-07-14 16:58:00,64750.5,64750.5,64691.5,64718.7,93.573,6056134.9169
2026-07-14 16:59:00,64718.7,64718.8,64694.4,64702.7,40.225,2602762.292
2026-07-14 17:00:00,64702.7,64702.8,64647.3,64681.3,75.612,4889919.9282
2026-07-14 17:01:00,64681.3,64695.7,64665.2,64665.2,45.713,2956814.42
2026-07-14 17:02:00,64665.2,64678.5,64644.6,64675.7,43.976,2843606.9499
2026-07-14 17:03:00,64675.7,64683.3,64662.6,64671.1,14.56,941674.6364
2026-07-14 17:04:00,64671.1,64675.5,64643.5,64674.2,27.884,1802781.1669
2026-07-14 17:05:00,64674.2,64678.0,64637.9,64638.7,44.025,2846802.1984
2026-07-14 17:06:00,64638.7,64638.7,64615.0,64619.8,72.95,4714538.9589
2026-07-14 17:07:00,64619.8,64624.4,64610.0,64610.1,49.634,3207155.2401
2026-07-14 17:08:00,64610.1,64610.1,64538.7,64554.2,138.8,8962295.7702
2026-07-14 17:09:00,64554.2,64584.0,64554.2,64572.2,63.703,4113505.3578
2026-07-14 17:10:00,64572.2,64577.5,64561.6,64571.7,29.084,1878074.2483
2026-07-14 17:11:00,64571.7,64571.8,64251.0,64407.9,1018.802,65591269.5757
2026-07-14 17:12:00,64407.9,64510.8,64407.9,64509.2,166.252,10717311.3218
2026-07-14 17:13:00,64509.2,64581.7,64500.0,64558.5,122.155,7882828.994
2026-07-14 17:14:00,64558.5,64595.0,64558.4,64581.9,96.673,6243199.5326
2026-07-14 17:15:00,64581.9,64622.3,64571.4,64601.6,226.122,14607686.9888
2026-07-14 17:16:00,64601.6,64644.0,64570.1,64570.3,72.497,4684549.394
