Iteration,ROI,Net Profit,Max Drawdown,Trades
1,-1.759743324793726,-175.9743324793726,6.25214171348256,6
2,-1.759743324793726,-175.9743324793726,7.139579921476434,6
3,-1.759743324793726,-175.9743324793726,4.387227580692561,6
4,-1.759743324793726,-175.9743324793726,7.13982393658191,6
5,-1.759743324793726,-175.9743324793726,4.345685683061476,6
6,-1.759743324793726,-175.9743324793726,3.610455842851443,6
7,-1.759743324793708,-175.9743324793708,6.8981821355299235,6
8,-1.759743324793726,-175.9743324793726,7.0767778905805585,6
9,-1.759743324793708,-175.9743324793708,3.5976201157838656,6
10,-1.759743324793726,-175.9743324793726,3.576269062187192,6
11,-1.759743324793726,-175.9743324793726,6.294312146476441,6
12,-1.759743324793708,-175.9743324793708,6.835647163492464,6
13,-1.759743324793726,-175.9743324793726,7.139579921476434,6
14,-1.759743324793708,-175.9743324793708,6.8981821355299235,6
15,-1.759743324793708,-175.9743324793708,6.835647163492464,6
16,-1.759743324793726,-175.9743324793726,7.208075958635309,6
17,-1.759743324793726,-175.9743324793726,3.5975337471044506,6
18,-1.759743324793726,-175.9743324793726,7.208075958635309,6
19,-1.759743324793708,-175.9743324793708,4.274905121666152,6
20,-1.759743324793708,-175.9743324793708,6.775091091478467,6
21,-1.759743324793708,-175.9743324793708,5.216617099256634,6
22,-1.759743324793726,-175.9743324793726,6.362808183635316,6
23,-1.759743324793726,-175.9743324793726,6.234712395600115,6
24,-1.759743324793708,-175.9743324793708,3.631402334448472,6
25,-1.759743324793726,-175.9743324793726,7.071976476528155,6
26,-1.759743324793726,-175.9743324793726,6.25214171348256,6
27,-1.759743324793726,-175.9743324793726,6.183645676323685,6
28,-1.759743324793726,-175.9743324793726,6.355774472375868,6
29,-1.759743324793708,-175.9743324793708,6.138913972785804,6
30,-1.759743324793708,-175.9743324793708,5.983345975298552,6
31,-1.759743324793726,-175.9743324793726,3.5975337471044506,6
32,-1.759743324793708,-175.9743324793708,6.837112730610197,6
33,-1.759743324793726,-175.9743324793726,3.5419598056925676,6
