Window,Strategy,Parameters,Train ROI,Test ROI,Train Profit,Test Profit,Train Trades,Test Trades
1,SMA Crossover,"{'fast_period': 10, 'slow_period': 100}",3.456912571147713,0.0,382.3157866787197,0,2,0
2,SMA Crossover,"{'fast_period': 20, 'slow_period': 50}",-0.9800029933862425,0.0,-46.20936033105794,0,3,0
