Symbol,Strategy,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,Gross Profit,Fees,Net Profit,Profit %,Duration (Hours),Exit Reason
BTCUSDT,SMA Crossover,2026-06-20 06:00:00,2026-06-22 12:00:00,63704.2,64978.284,0.1568891847005378,199.89000000000124,5.606914500000001,194.28308550000125,1.9439000000000126,54.0,Take Profit
BTCUSDT,SMA Crossover,2026-06-22 12:00:00,2026-06-22 17:00:00,65122.5,64471.275,0.15636959967450537,-101.83179254802963,5.54474110424022,-107.37653365226984,-1.0544499999999988,5.0,Stop Loss
BTCUSDT,SMA Crossover,2026-06-22 17:00:00,2026-06-22 22:00:00,64577.9,63932.121,0.1559397414541828,-100.70261029654102,5.483257130646642,-106.18586742718767,-1.0544500000000032,5.0,Stop Loss
BTCUSDT,SMA Crossover,2026-06-22 22:00:00,2026-06-23 06:00:00,63941.1,63301.689,0.15574638098011545,-99.58594920887663,5.422454934423331,-105.00840414329996,-1.0544500000000003,8.0,Stop Loss
BTCUSDT,SMA Crossover,2026-06-23 06:00:00,2026-06-23 08:00:00,62907.4,62278.326,0.1565502157800219,-98.48167044160073,5.362326955545202,-103.84399739714593,-1.0544499999999921,2.0,Stop Loss
BTCUSDT,SMA Crossover,2026-06-27 08:00:00,2026-06-27 22:00:00,60419.1,59814.909,0.161190147967899,-97.38963669087207,5.302865717818027,-102.69250240869009,-1.054449999999992,14.0,Stop Loss
BTCUSDT,SMA Crossover,2026-06-27 22:00:00,2026-06-28 14:00:00,60198.4,60000.0,0.15998716274081903,-31.7414530877777,5.279576370447029,-37.02102945822473,-0.38439559855410615,16.0,Signal
BTCUSDT,SMA Crossover,2026-06-29 21:00:00,2026-06-30 00:00:00,60460.1,59855.498999999996,0.15859506543117285,-95.88673515475239,5.221032729176276,-101.10776788392866,-1.0544499999999983,3.0,Stop Loss
BTCUSDT,SMA Crossover,2026-06-30 00:00:00,2026-06-30 08:00:00,59803.6,59205.564,0.1585581400857164,-94.82347586430114,5.163138260811217,-99.98661412511237,-1.0544499999999963,8.0,Stop Loss
BTCUSDT,SMA Crossover,2026-06-30 08:00:00,2026-06-30 12:00:00,59278.5,58685.715,0.15818889941159558,-93.77200673770312,5.105885766867911,-98.87789250457104,-1.0544500000000048,4.0,Stop Loss
BTCUSDT,SMA Crossover,2026-07-01 20:00:00,2026-07-01 22:00:00,60106.2,61308.324,0.15428058509331816,185.46439407471917,5.202276253795896,180.26211782092327,1.9438999999999909,2.0,Take Profit
BTCUSDT,SMA Crossover,2026-07-01 22:00:00,2026-07-02 00:00:00,60454.9,59850.351,0.15628646158632412,-94.48282406555154,5.144589770369234,-99.62741383592078,-1.0544500000000092,2.0,Stop Loss
BTCUSDT,SMA Crossover,2026-07-02 00:00:00,2026-07-02 03:00:00,59730.0,60924.6,0.1564291517239771,186.87026464946393,5.241710923417439,181.6285537260465,1.94390000000001,3.0,Take Profit
BTCUSDT,SMA Crossover,2026-07-02 03:00:00,2026-07-02 06:00:00,61038.9,60428.511,0.15596452357786245,-95.19902958216699,5.183587160749042,-100.38261674291603,-1.0544499999999906,3.0,Stop Loss
BTCUSDT,SMA Crossover,2026-07-02 06:00:00,2026-07-02 12:00:00,60243.8,61448.67600000001,0.15627068022412366,188.28679210572227,5.281444518565481,183.0053475871568,1.9439000000000113,6.0,Take Profit
BTCUSDT,SMA Crossover,2026-07-02 12:00:00,2026-07-03 20:00:00,61506.3,62736.42600000001,0.15595258393285139,191.84132826298264,5.381149257776666,186.460179005206,1.943899999999999,32.0,Take Profit
BTCUSDT,SMA Crossover,2026-07-03 20:00:00,2026-07-05 21:00:00,62748.0,63063.9,0.15575234911915375,49.20216708674161,5.40229281328847,43.79987427345314,0.44816544750431264,49.0,Signal
BTCUSDT,SMA Crossover,2026-07-05 22:00:00,2026-07-06 05:00:00,63705.6,63068.543999999994,0.15401391644140972,-98.11548955249964,5.342388406133555,-103.45787795863319,-1.0544500000000094,7.0,Stop Loss
BTCUSDT,SMA Crossover,2026-07-06 05:00:00,2026-07-06 11:00:00,63075.9,62445.141,0.15382660615542113,-97.02751627198813,5.283148261009707,-102.31066453299783,-1.0544500000000088,6.0,Stop Loss
BTCUSDT,SMA Crossover,2026-07-06 11:00:00,2026-07-06 12:00:00,62447.8,61823.322,0.15365090075449037,-95.951607201363,5.224565012114196,-101.1761722134772,-1.0544500000000039,1.0,Stop Loss
BTCUSDT,SMA Crossover,2026-07-06 12:00:00,2026-07-06 15:00:00,61729.2,62963.784,0.15371595381798936,189.77525712842908,5.323195962452422,184.45206116597666,1.9439000000000053,3.0,Take Profit
BTCUSDT,SMA Crossover,2026-07-06 15:00:00,2026-07-07 05:00:00,63524.0,62888.76,0.15219278775553702,-96.67894649382652,5.264168636588899,-101.9431151304154,-1.0544499999999914,14.0,Stop Loss
BTCUSDT,SMA Crossover,2026-07-07 05:00:00,2026-07-07 08:00:00,63092.8,63096.8,0.15153377661014378,0.6061351064417977,5.258713017808207,-4.652577911366409,-0.048663619303616165,3.0,End of Backtest
